Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
318,F,18:00,SLAVEN BELUPO,ISTRA,1.85,3.10,3.00,,
319,F,18:00,BRNO,JIHLAVA,1.50,3.30,4.30,1.70,1.65
320,F,18:00,SLOVACKO,TEPLICE,2.10,2.90,2.60,1.60,1.75
321,F,18:00,TONDELA,MOREIRENSE,2.10,2.70,2.80,1.35,2.15
322,F,18:00,SPARTAK MOSKOVA,CSKA MOSKOVA,2.10,2.90,2.60,1.50,1.85
686,B,18:00,AFYON BLD,SAMSUN BSB.ANAKENT,1.70,,1.70,,
687,B,18:00,AKHİSAR BLD,BURSASPOR DURMAZLAR,1.70,,1.70,,
323,F,18:45,SION,LUGANO,1.35,3.60,5.50,2.15,1.35
121,F,19:00,ADANASPOR,GALATASARAY,5.00,3.40,1.40,1.95,1.45
324,F,19:00,ZULTE WAREGEM,CLUB BRUGGE,2.60,3.20,2.00,1.95,1.45
325,F,19:00,POGON SZCZECIN,RUCH CHORZOW,1.60,3.20,3.75,1.70,1.65
326,F,19:00,TENERIFE,VALLECANO,2.10,2.70,2.80,1.40,2.05
327,F,19:00,ZARAGOZA,ALMERIA,1.80,3.00,3.20,1.50,1.85
328,F,19:00,ELAZIĞSPOR,YENİ MALATYASPOR,2.80,3.10,1.90,1.65,1.70
329,F,19:00,GALATASARAY (121),(122) LIVERPOOL,2.20,3.60,2.10,,
527,F,19:00,BOLOGNA,FIORENTINA,2.60,2.90,2.10,1.60,1.75
688,B,19:00,GOTTINGEN,BREMERHAVEN,1.70,,1.70,1.70,1.70
689,B,19:00,ANWIL WLOCLAWEK,MIASTO SZKLA KROSNO,1.70,,1.70,1.70,1.70
690,B,19:00,RADOM,TARNOBRZEG,1.70,,1.70,1.70,1.70
691,B,19:00,SLAM STAL,STAROGARD GDANSKI,1.70,,1.70,1.70,1.70
692,B,19:00,ZIELONA GORA,SZCZECIN,1.70,,1.70,1.70,1.70
693,B,19:00,SAKARYA BŞB,ACIBADEM ÜNİV.,1.70,,1.70,,
694,B,19:00,BEŞİKTAŞ,YEŞİLGİRESUN BLD,1.70,,1.70,1.70,1.70
774,B,19:00,BEŞİKTAŞ,YEŞİLGİRESUN BLD,,,,,
330,F,19:15,RAITH ROVERS,QUEEN OF SOUTH,1.85,3.20,2.90,1.75,1.60
695,B,19:15,PRAT,PALENCIA,1.70,,1.70,,
122,F,19:30,CRYSTAL PALACE,LIVERPOOL,4.00,3.30,1.55,1.85,1.50
123,F,19:30,B.DORTMUND,SCHALKE,1.35,3.60,5.50,2.15,1.35
124,F,19:30,ATLETICO MADRID,MALAGA,1.10,5.50,10.00,1.75,1.60
331,F,19:30,SALZBURG,RIED,1.15,4.75,9.00,2.30,1.30
332,F,19:30,ST POLTEN,ALTACH,2.70,3.00,2.00,1.65,1.70
333,F,19:30,WOLFSBERGER,MATTERSBURG,1.50,3.30,4.30,1.70,1.65
334,F,19:30,BLACKBURN,WOLVERHAMPTON,2.50,3.10,2.10,1.55,1.80
335,F,19:30,ATROMITOS,OLYMPIAKOS,7.00,4.00,1.25,,
336,F,19:30,WILLEM,GRONINGEN,1.90,3.20,2.80,1.75,1.60
337,F,19:30,DYNAMO KIEV,KARPATY LVIV,1.05,6.25,12.50,,
696,B,19:30,LIMOGES,NANTERRE,1.70,,1.70,1.70,1.70
697,B,19:30,CORUNA,OURENSE,1.70,,1.70,,
698,B,19:30,OVIEDO,LLEIDA,1.70,,1.70,,
699,B,19:30,PHILADELPHIA,ATLANTA,1.70,,1.70,1.70,1.70
700,B,19:30,BILBAO,CANARIAS,1.70,,1.70,1.70,1.70
701,B,19:30,MURCIA,GRAN CANARIA,1.70,,1.70,1.70,1.70
775,B,19:30,LIMOGES,NANTERRE,,,,,
794,B,19:30,AS MONACO (703),(700) BILBAO,1.70,,1.70,1.70,1.70
338,F,20:00,VELEZ SARSFIELD,TALLERES,2.10,2.70,2.80,1.35,2.15
702,B,20:00,CIBONA,FMP BELGRAD,1.70,,1.70,,
703,B,20:00,AS MONACO,GRAVELINES,1.70,,1.70,1.70,1.70
339,F,20:15,SETUBAL,PORTO,8.00,4.30,1.20,1.80,1.55
704,B,20:15,BREOGAN,HUESCA,1.70,,1.70,,
340,F,20:30,ALIANZA ATLETICO,AYACUCHO,1.55,3.30,4.00,,
341,F,20:45,HERACLES,SPARTA ROTTERDAM,1.85,3.20,2.90,1.80,1.55
342,F,20:45,VITESSE,PSV EINDHOVEN,3.50,3.40,1.60,2.05,1.40
125,F,21:00,BASTIA,DIJON,2.10,2.90,2.60,1.40,2.05
126,F,21:00,GUINGAMP,ANGERS,1.90,3.00,2.90,1.40,2.05
127,F,21:00,LORIENT,MONTPELLIER,2.10,2.90,2.60,1.65,1.70
128,F,21:00,ST ETIENNE,MONACO,2.30,2.70,2.50,1.45,1.95
343,F,21:00,EUPEN,LOKEREN,1.80,3.20,3.00,1.85,1.50
344,F,21:00,GENK,WESTERLO,1.15,4.75,9.00,2.15,1.35
345,F,21:00,CORDOBA,VALLADOLID,1.90,2.90,3.00,1.45,1.95
346,F,21:00,GRASSHOPPERS,BASEL,4.30,3.30,1.50,2.05,1.40
558,F,21:00,NANCY,CAEN,1.90,2.90,3.00,1.45,1.95
705,B,21:00,ORTHEZ,ORLEANS,1.70,,1.70,1.70,1.70
706,B,21:00,STRASBOURG,ANTIBES,1.70,,1.70,1.70,1.70
707,B,21:00,VILLEURBANNE,LE PORTEL,1.70,,1.70,1.70,1.70
708,B,21:00,PEIXEGALEGO,FC BARCELONA B,1.70,,1.70,,
347,F,21:15,MLADA BOLESLAV,ZLIN,1.35,3.60,5.50,1.80,1.55
348,F,21:30,SINT TRUIDEN,CHARLEROI,2.20,2.90,2.50,1.85,1.50
349,F,21:30,ATLETICO MG,FLAMENGO,1.90,3.00,2.90,1.70,1.65
350,F,21:30,ATLETICO PR,CRUZEIRO,1.95,2.90,2.90,1.35,2.15
351,F,21:30,CORINTHIANS,CHAPECOENSE,1.30,3.75,6.25,1.60,1.75
352,F,21:30,COBRESAL,UNION ESPANOLA,2.80,3.20,1.90,,
